"First Name","Last Name","Sex","Email","GPA","IELTS","Top 10","Consent","Extra Co-Curriculars","Credit Transfer Requirement"
"Delores","Roob","Male","natalie_emard@hotmail.com","2.2","6.5","MIT, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of Toronto, University of New South Wales, University of Birmingham, Seoul National University","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 14010, MGMT 19100, ENGL 14010, PSYC 14100, ISOM 25700"
"Brad","Schuster","Female","rice_derrick@yahoo.com","3.5","8.5","University of California, Berkeley, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Volunteer Work -> (200 hours), Drama Club -> (Member), Debate Team -> (Member)","BIOL 14010, MATH 19100, PHYS 14010, CHEM 14100, ISOM 26700"
"Boyd","Morissette","Male","douglaspouros1987@yahoo.com","3.2","7.5","University of Toronto, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of New South Wales, University of Birmingham, Seoul National University, University of Melbourne","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 15010, MGMT 20100, ENGL 15010, PSYC 15100, ISOM 27700"
"Kristopher","McGlynn","Male","elsagoyette@yahoo.com","1.8","6.0","University of Edinburgh, University of Manchester, University of Birmingham, University of Leeds, University of Sheffield, University of Bristol, University of Nottingham, University of Liverpool, University of Newcastle, University of Southampton","Yes","Sports Team -> (Member), Music Club -> (Member), Chess Club -> (Member)","ECON 16010, MGMT 21100, ENGL 16010, PSYC 16100, ISOM 28700"
"Steve","Thiel","Female","vickie_shields@hotmail.com","3.5","9.0","Harvard, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Debate Team -> (Member), Volunteer Work -> (100 hours), Drama Club -> (Member)","PHYS 16010, CHEM 16100, BIOL 16010, MATH 21100, ISOM 29700"
"Mary","Windler","Male","opal_schmeler@outlook.com","1.5","6.5","MIT, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of Toronto, University of New South Wales, University of Birmingham, Seoul National University","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 17010, MGMT 22100, ENGL 17010, PSYC 17100, ISOM 30700"
"Blake","Kulas","Female","lubowitz_mary@gmail.com","5.0","8.5","University of California, Berkeley, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Music Club -> (Member), Debate Team -> (Member), Volunteer Work -> (200 hours)","ECON 18010, MGMT 23100, ENGL 18010, PSYC 18100, ISOM 31700"
"Fannie","Wiza","Male","calvinanderson1980@hotmail.com","4.0","8.0","Harvard, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Volunteer Work -> (100 hours), Drama Club -> (Member), Debate Team -> (Member)","BIOL 18010, MATH 23100, PHYS 18010, CHEM 18100, ISOM 32700"
"Matthew","Grimes","Male","reynolds_shelly@outlook.com","4.3","9.0","University of Toronto, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of New South Wales, University of Birmingham, Seoul National University, University of Melbourne","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 19010, MGMT 24100, ENGL 19010, PSYC 19100, ISOM 33700"
"Erik","Gulgowski","Male","darrelschulist1995@yahoo.com","3.2","7.5","University of California, Berkeley, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Debate Team -> (Member), Volunteer Work -> (200 hours), Drama Club -> (Member)","PHYS 19010, CHEM 19100, BIOL 19010, MATH 24100, ISOM 34700"
"Lynn","Pollich","Female","clarencehansen1975@yahoo.com","0.0","6.0","University of Edinburgh, University of Manchester, University of Birmingham, University of Leeds, University of Sheffield, University of Bristol, University of Nottingham, University of Liverpool, University of Newcastle, University of Southampton","Yes","Sports Team -> (Member), Music Club -> (Member), Chess Club -> (Member)","ECON 20010, MGMT 25100, ENGL 20010, PSYC 20100, ISOM 35700"
"Beatrice","Kovacek","Male","reichertbillie@hotmail.com","3.0","8.5","University of California, Berkeley, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Volunteer Work -> (100 hours), Drama Club -> (Member), Debate Team -> (Member)","BIOL 20010, MATH 25100, PHYS 20010, CHEM 20100, ISOM 36700"
"Courtney","MacGyver","Male","timothycummings2002@gmail.com","2.0","6.5","MIT, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of Toronto, University of New South Wales, University of Birmingham, Seoul National University","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 21010, MGMT 26100, ENGL 21010, PSYC 21100, ISOM 37700"
"Ruben","Dicki","Male","angie_marquardt@hotmail.com","3.0","7.5","University of Toronto, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of New South Wales, University of Birmingham, Seoul National University, University of Melbourne","Yes","Debate Team -> (Member), Volunteer Work -> (200 hours), Drama Club -> (Member)","PHYS 21010, CHEM 21100, BIOL 21010, MATH 26100, ISOM 38700"
"Sherri","Beer","Female","smithelbert@outlook.com","4.0","9.0","Harvard, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Volunteer Work -> (100 hours), Drama Club -> (Member), Debate Team -> (Member)","BIOL 21010, MATH 26100, PHYS 21010, CHEM 21100, ISOM 39700"
"Angelina","Johns","Female","rosa.roberts@outlook.com","2.0","6.0","University of Edinburgh, University of Manchester, University of Birmingham, University of Leeds, University of Sheffield, University of Bristol, University of Nottingham, University of Liverpool, University of Newcastle, University of Southampton","Yes","Sports Team -> (Member), Music Club -> (Member), Chess Club -> (Member)","ECON 22010, MGMT 27100, ENGL 22010, PSYC 22100, ISOM 40700"
"Kelly","Bartoletti","Female","johnniebergnaum@gmail.com","4.0","8.5","University of California, Berkeley, University of Cambridge, University of Tokyo, University of Melbourne, Stanford, University of Oxford, National University of Singapore, University of Sydney, Imperial College London, University of Hong Kong","Yes","Music Club -> (Member), Debate Team -> (Member), Volunteer Work -> (200 hours)","ECON 23010, MGMT 28100, ENGL 23010, PSYC 23100, ISOM 41700"
"Shannon","Collins","Female","toddbogan1981@outlook.com","2.0","6.5","MIT, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of Toronto, University of New South Wales, University of Birmingham, Seoul National University","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 24010, MGMT 29100, ENGL 24010, PSYC 24100, ISOM 42700"
"Harvey","Johns","Male","meghan_pacocha@yahoo.com","2.0","6.0","University of Edinburgh, University of Manchester, University of Birmingham, University of Leeds, University of Sheffield, University of Bristol, University of Nottingham, University of Liverpool, University of Newcastle, University of Southampton","Yes","Sports Team -> (Member), Music Club -> (Member), Chess Club -> (Member)","ECON 25010, MGMT 30100, ENGL 25010, PSYC 25100, ISOM 43700"
"Opal","Lakin","Female","grantalton@hotmail.com","2.0","6.5","University of Toronto, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of New South Wales, University of Birmingham, Seoul National University, University of Melbourne","Yes","Debate Team -> (Member), Volunteer Work -> (200 hours), Drama Club -> (Member)","PHYS 25010, CHEM 25100, BIOL 25010, MATH 30100, ISOM 44700"
"Rose","Weimann","Female","jeffery_sawayn@outlook.com","2.0","6.0","University of Edinburgh, University of Manchester, University of Birmingham, University of Leeds, University of Sheffield, University of Bristol, University of Nottingham, University of Liverpool, University of Newcastle, University of Southampton","Yes","Volunteer Work -> (100 hours), Drama Club -> (Member), Debate Team -> (Member)","BIOL 25010, MATH 30100, PHYS 25010, CHEM 25100, ISOM 45700"
"Harold","Barrows","Male","annettelabadie1992@outlook.com","2.0","6.5","MIT, University of Edinburgh, University of Queensland, University of California, Los Angeles, University of Manchester, University of Hong Kong, University of Toronto, University of New South Wales, University of Birmingham, Seoul National University","Yes","Chess Club -> (Member), Music Club -> (Member), Sports Team -> (Member)","ECON 26010, MGMT 31100, ENGL 26010, PSYC 26100, ISOM 46700"
